ID,Name,Created At,Updated At,Code,Area,Bigarea
1,北海道,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",1,1,
2,青森県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",2,2,
3,岩手県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",3,2,
4,宮城県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",4,2,
5,秋田県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",5,2,
6,山形県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",6,2,
7,福島県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",7,2,
8,茨城県,"2018/12/26, 10:01 AM","2021/10/27, 5:50 AM",8,3,2
9,栃木県,"2018/12/26, 10:01 AM","2021/10/27, 5:50 AM",9,3,2
10,群馬県,"2018/12/26, 10:01 AM","2021/10/27, 5:50 AM",10,3,2
11,埼玉県,"2018/12/26, 10:01 AM","2021/10/27, 5:51 AM",11,3,1
12,千葉県,"2018/12/26, 10:01 AM","2021/10/27, 5:51 AM",12,3,1
13,東京都,"2018/12/26, 10:01 AM","2021/10/27, 5:51 AM",13,3,1
14,神奈川県,"2018/12/26, 10:01 AM","2021/10/27, 5:51 AM",14,3,1
15,新潟県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",15,4,
16,富山県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",16,4,
17,石川県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",17,4,
18,福井県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",18,4,
19,山梨県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",19,4,
20,長野県,"2018/12/26, 10:01 AM","2021/10/27, 5:50 AM",20,4,2
21,岐阜県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",21,5,
22,静岡県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",22,5,
23,愛知県,"2018/12/26, 10:01 AM","2021/10/27, 5:50 AM",23,5,2
24,三重県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",24,5,
25,滋賀県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",25,6,
26,京都府,"2018/12/26, 10:01 AM","2021/10/27, 5:50 AM",26,6,2
27,大阪府,"2018/12/26, 10:01 AM","2021/10/27, 5:50 AM",27,6,2
28,兵庫県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",28,6,
29,奈良県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",29,6,
30,和歌山県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",30,6,
31,鳥取県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",31,7,
32,島根県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",32,7,
33,岡山県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",33,7,
34,広島県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",34,7,
35,山口県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",35,7,
36,徳島県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",36,8,
37,香川県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",37,8,
38,愛媛県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",38,8,
39,高知県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",39,8,
40,福岡県,"2018/12/26, 10:01 AM","2021/10/27, 5:50 AM",40,9,2
41,佐賀県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",41,9,
42,長崎県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",42,9,
43,熊本県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",43,9,
44,大分県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",44,9,
45,宮崎県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",45,9,
46,鹿児島県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",46,9,
47,沖縄県,"2018/12/26, 10:01 AM","2018/12/26, 10:01 AM",47,9,
