ID,Size Stats → くま川鉄道,Size Stats → とさでん交通,Size Stats → 九州旅客鉄道,Size Stats → 函館市,Size Stats → 北海道旅客鉄道,Size Stats → 南阿蘇鉄道,Size Stats → 富山地方鉄道,Size Stats → 島原鉄道,Size Stats → 平成筑豊鉄道,Size Stats → 札幌市,Size Stats → 松浦鉄道,Size Stats → 沖縄都市モノレール,Size Stats → 熊本市,Size Stats → 熊本電気鉄道,Size Stats → 肥薩おれんじ鉄道,Size Stats → 西日本旅客鉄道,Size Stats → 道南いさりび鉄道,Size Stats → 長崎電気軌道,Size Stats → 鹿児島市,Name,Name K,Name R,Prefecture ID,Post,Address,Created At,Updated At,Lon,Lat,Size,Size Stats,Avg Price,Secure ID
1110117,,,,,0,,,,,,,,,,,,,,,鹿部,,,1,041-1404,茅部郡鹿部町字本別,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.77139300° E,42.06439000° N,0,"{""北海道旅客鉄道"": 0}",,9fca967a-3c3b-4b09-ad2b-6e3d793b7f0e
1110109,,,,,302,,,,,,,,,,,,,,,大沼公園,,,1,041-1354,北海道亀田郡七飯町字大沼町８５,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",140.66975800° E,41.98095800° N,302,"{""北海道旅客鉄道"": 302}",,60493465-5568-404d-b299-866277676d08
1110215,,,,,0,,,,,,,,,,,,,,,仁木,,,1,048-2405,余市郡仁木町字北町１丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.77054600° E,43.15409100° N,0,"{""北海道旅客鉄道"": 0}",,29da370f-1179-4834-96bd-5a96ba75f5e7
1110218,,,,,0,,,,,,,,,,,,,,,塩谷,,,1,048-2672,小樽市塩谷２丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.92454600° E,43.20240600° N,0,"{""北海道旅客鉄道"": 0}",,0a4d977f-2b6c-4704-b827-39f39a2aa813
1110204,,,,,0,,,,,,,,,,,,,,,黒松内,,,1,048-0101,寿都郡黒松内町字黒松内,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.30570400° E,42.66960800° N,0,"{""北海道旅客鉄道"": 0}",,77cca577-db08-4302-b0ca-0bd5a023e542
1110207,,,,,154,,,,,,,,,,,,,,,蘭越,,,1,048-1301,磯谷郡蘭越町蘭越町,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",140.52894000° E,42.80454200° N,154,"{""北海道旅客鉄道"": 154}",,74dae2e1-eb04-431d-94c2-7cf15c8d7c05
1110120,,,,,0,,,,,,,,,,,,,,,掛澗,,,1,049-2221,茅部郡森町砂原西３丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.64598000° E,42.11920500° N,0,"{""北海道旅客鉄道"": 0}",,db7e431a-ce9f-4ac4-8d81-6d482180360e
1110211,,,,,"1,074",,,,,,,,,,,,,,,倶知安,,,1,044-0051,虻田郡倶知安町北三条西４丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",140.74547100° E,42.90164000° N,"1,074","{""北海道旅客鉄道"": 1074}",,8574b687-a9a9-4ce6-a78f-69e7dc4daf81
1110210,,,,,0,,,,,,,,,,,,,,,比羅夫,,,1,044-0077,虻田郡倶知安町比羅夫,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.72261500° E,42.84856000° N,0,"{""北海道旅客鉄道"": 0}",,2a1ccb9f-beb4-40ba-be94-aca5059f6ebf
1110214,,,,,0,,,,,,,,,,,,,,,然別,,,1,048-2403,余市郡仁木町然別,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.73721100° E,43.12551000° N,0,"{""北海道旅客鉄道"": 0}",,5e900af5-3530-48ff-9953-09b8fda9d14d
1110119,,,,,0,,,,,,,,,,,,,,,渡島砂原,,,1,049-2222,茅部郡森町砂原４丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.68945100° E,42.12164000° N,0,"{""北海道旅客鉄道"": 0}",,fd5d982b-40b0-4a37-9bed-9d8675cb689e
1110128,,,,,0,,,,,,,,,,,,,,,落部,,,1,049-2562,二海郡八雲町落部,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.42075500° E,42.18761700° N,0,"{""北海道旅客鉄道"": 0}",,99561a87-10dd-4c13-b281-65eb1026094e
1110129,,,,,0,,,,,,,,,,,,,,,野田生,,,1,049-2672,二海郡八雲町野田生,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.37586000° E,42.21710400° N,0,"{""北海道旅客鉄道"": 0}",,9ec28e46-453f-42b7-841f-49b61bf0599c
1110132,,,,,0,,,,,,,,,,,,,,,鷲ノ巣,,,1,049-3122,二海郡八雲町花浦,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.26991900° E,42.27838900° N,0,"{""北海道旅客鉄道"": 0}",,dc45f466-8e59-401a-b323-ce46cb45103e
1110137,,,,,0,,,,,,,,,,,,,,,中ノ沢,,,1,049-3512,山越郡長万部町字中の沢,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.34607700° E,42.47792800° N,0,"{""北海道旅客鉄道"": 0}",,9065b154-6ad5-4e24-9515-f7699813ab0c
1110216,,,,,"1,330",,,,,,,,,,,,,,,余市,,,1,046-0003,余市郡余市町黒川町５丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",140.79468600° E,43.18655800° N,"1,330","{""北海道旅客鉄道"": 1330}",,24cb2473-8c40-4bfb-81ae-ed9424eb1984
1110112,,,,,0,,,,,,,,,,,,,,,東山,,,1,049-2141,茅部郡森町字駒ケ岳,"2019/2/27, 9:42 AM","2019/12/9, 7:19 AM",140.60522200° E,42.06172000° N,0,"{""北海道旅客鉄道"": 0}",,24b6ce40-657b-43fd-8791-2330c5b798d8
1110131,,,,,456,,,,,,,,,,,,,,,八雲,,,1,049-3107,二海郡八雲町本町,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",140.27334200° E,42.25339100° N,456,"{""北海道旅客鉄道"": 456}",,69c24fa7-79c6-48a6-ad28-a9e3a469ac1c
1110130,,,,,0,,,,,,,,,,,,,,,山越,,,1,049-2671,二海郡八雲町山越,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.32659300° E,42.23117200° N,0,"{""北海道旅客鉄道"": 0}",,c2acb0a1-9c86-4ee0-ac1b-b5577d1f7062
1110114,,,,,0,,,,,,,,,,,,,,,池田園,,,1,041-1352,亀田郡七飯町字軍川,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.70033300° E,41.99069200° N,0,"{""北海道旅客鉄道"": 0}",,1a3dac35-981f-405b-bb09-52e83a75759d
1110202,,,,,0,,,,,,,,,,,,,,,二股,,,1,049-3501,山越郡長万部町字双葉,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.32082100° E,42.57586900° N,0,"{""北海道旅客鉄道"": 0}",,72ebc6b1-a8d4-4438-af4d-c1f9f10704f8
1110118,,,,,0,,,,,,,,,,,,,,,渡島沼尻,,,1,049-2223,茅部郡森町砂原東４丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.74759600° E,42.10706000° N,0,"{""北海道旅客鉄道"": 0}",,3d6504d1-5ef6-48e7-afc4-969ff3cf69bd
1110125,,,,,0,,,,,,,,,,,,,,,石谷,,,1,049-2464,茅部郡森町字本茅部町,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.50652500° E,42.13551900° N,0,"{""北海道旅客鉄道"": 0}",,1a83763c-27a0-49a5-9b95-fce5b102f1c2
1110113,,,,,0,,,,,,,,,,,,,,,姫川,,,1,049-2306,茅部郡森町字姫川,"2019/2/27, 9:42 AM","2019/12/9, 7:19 AM",140.59163200° E,42.08131200° N,0,"{""北海道旅客鉄道"": 0}",,a7ea065c-0f90-4243-a9fe-0f248c0914e3
1110127,,,,,0,,,,,,,,,,,,,,,石倉,,,1,049-2463,茅部郡森町字石倉町,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.45843600° E,42.17285000° N,0,"{""北海道旅客鉄道"": 0}",,896ccdc9-5b53-41ff-82af-c23e328e3232
1110103,,,,,626,,,,,,,,,,,,,,,桔梗,,,1,041-0801,北海道函館市桔梗３丁目４１-３６,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",140.72295200° E,41.84645700° N,626,"{""北海道旅客鉄道"": 626}",,73513388-11ce-48b2-8273-8d3f2ba983e3
1110104,,,,,0,,,,,,,,,,,,,,,大中山,,,1,041-1121,亀田郡七飯町大字大中山,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.71358000° E,41.86464100° N,0,"{""北海道旅客鉄道"": 0}",,0e74eec8-c3fc-4c3e-a4ac-ccb9b363fc84
1110122,,,,,0,,,,,,,,,,,,,,,東森,,,1,049-2302,茅部郡森町字港町,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.59353000° E,42.10682300° N,0,"{""北海道旅客鉄道"": 0}",,e03070c2-a3fa-4a04-aeb4-1fe74d7a00cc
1110205,,,,,0,,,,,,,,,,,,,,,熱郛,,,1,048-0134,寿都郡黒松内町字白井川,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.37508400° E,42.67565300° N,0,"{""北海道旅客鉄道"": 0}",,d6c8dbfa-33fb-4cf7-935d-1441d012f60e
1110121,,,,,0,,,,,,,,,,,,,,,尾白内,,,1,049-2301,茅部郡森町字尾白内町,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.61344900° E,42.11123200° N,0,"{""北海道旅客鉄道"": 0}",,58be7277-9139-46eb-ba00-91d57da61e27
1110111,,,,,0,,,,,,,,,,,,,,,駒ケ岳,,,1,049-2300,北海道茅部郡森町字駒ヶ岳,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.61047600° E,42.03880900° N,0,"{""北海道旅客鉄道"": 0}",,68c0a811-1e42-4619-a2fa-5d30f25b8be8
1110124,,,,,0,,,,,,,,,,,,,,,桂川,,,1,049-2321,茅部郡森町字鷲ノ木町,"2019/2/27, 9:42 AM","2019/12/9, 7:19 AM",140.54278760° E,42.11560040° N,0,"{""北海道旅客鉄道"": 0}",,49bac12d-20cf-4891-b0ae-454d191a1da7
1110206,,,,,0,,,,,,,,,,,,,,,目名,,,1,048-1261,磯谷郡蘭越町目名町,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.46574200° E,42.76143200° N,0,"{""北海道旅客鉄道"": 0}",,ff8f7c36-7e63-4974-8b3e-c0f7e3ba80c4
1110123,,,,,556,,,,,,,,,,,,,,,森,,,1,049-2325,茅部郡森町字本町,"2019/2/27, 9:42 AM","2019/12/9, 7:19 AM",140.57384600° E,42.10891700° N,556,"{""北海道旅客鉄道"": 556}",,80636db0-735f-4f30-bf8f-e49b1583e7a3
1110136,,,,,0,,,,,,,,,,,,,,,国縫,,,1,049-3462,山越郡長万部町字国縫,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.32088500° E,42.43931900° N,0,"{""北海道旅客鉄道"": 0}",,64e0b6ac-9d88-4aa2-9b92-b932598d192c
1110212,,,,,0,,,,,,,,,,,,,,,小沢,,,1,048-2142,岩内郡共和町小沢,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.67765700° E,42.97185000° N,0,"{""北海道旅客鉄道"": 0}",,3304b9ef-a723-4953-b719-d6f88e0d0c6c
1110329,,,,,0,,,,,,,,,,,,,,,光珠内,,,1,072-0000,美唄市光珠内,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",141.84465500° E,43.29265800° N,0,"{""北海道旅客鉄道"": 0}",,f3a1338c-de9a-4832-943d-e00c178ee2b7
1110308,,,,,0,,,,,,,,,,,,,,,稲穂,,,1,006-0831,札幌市手稲区曙１条３丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",141.22291900° E,43.12811500° N,0,"{""北海道旅客鉄道"": 0}",,11b32642-b49d-4464-bb25-ac6d26176d6b
1110331,,,,,0,,,,,,,,,,,,,,,茶志内,,,1,079-0261,美唄市茶志内町,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",141.87336000° E,43.36984200° N,0,"{""北海道旅客鉄道"": 0}",,b331c5a3-b189-46fc-9e7e-8e95f3be9e1c
1110330,,,,,"2,736",,,,,,,,,,,,,,,美唄,,,1,072-0012,美唄市東一条南２丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",141.86215700° E,43.33075100° N,"2,736","{""北海道旅客鉄道"": 2736}",,72b9aebd-b636-4768-a693-6947c3d6ee86
1110342,,,,,"10,666",,,,,,,,,,,,,,,旭川,,,1,070-0030,旭川市宮下通８丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",142.35780300° E,43.76349200° N,"10,666","{""北海道旅客鉄道"": 10666}",,4701476f-a4bc-417d-ba36-12a10dd87960
1110318,,,,,"6,624",,,,,,,,,,,,,,,厚別,,,1,004-0055,札幌市厚別区厚別中央５条４丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",141.46369000° E,43.04515400° N,"6,624","{""北海道旅客鉄道"": 6624}",,6bf1ec8c-0a2e-4d49-a0dd-a5c2a719b4cd
1110406,,,,,0,,,,,,,,,,,,,,,豊浦,,,1,049-5412,虻田郡豊浦町字旭町,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",140.71536000° E,42.58032300° N,0,"{""北海道旅客鉄道"": 0}",,136c3b19-81ee-4ee2-adc7-871be6d9f8c0
1110333,,,,,0,,,,,,,,,,,,,,,豊沼,,,1,073-0138,砂川市豊沼町,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",141.90103200° E,43.46422400° N,0,"{""北海道旅客鉄道"": 0}",,f919038b-10b5-4fb1-aff0-cc9436d17902
1110304,,,,,0,,,,,,,,,,,,,,,朝里,,,1,047-0151,小樽市朝里１丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",141.06392300° E,43.17686800° N,0,"{""北海道旅客鉄道"": 0}",,a6d7112e-79c2-4bb8-b282-0c5ae9bfed7c
1110322,,,,,"5,660",,,,,,,,,,,,,,,高砂,,,1,067-0074,江別市高砂町,"2019/2/27, 9:42 AM","2019/12/9, 7:19 AM",141.54075200° E,43.10008400° N,"5,660","{""北海道旅客鉄道"": 5660}",,1969ced5-fae6-43cc-b0f7-2eaa2998960d
1110309,,,,,"31,320",,,,,,,,,,,,,,,手稲,,,1,006-0021,札幌市手稲区手稲本町１条４丁目,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",141.24378500° E,43.12023800° N,"31,320","{""北海道旅客鉄道"": 31320}",,b09be636-8869-4c58-85a5-a1215d8a1984
1110413,,,,,0,,,,,,,,,,,,,,,黄金,,,1,059-0271,伊達市南黄金町,"2019/2/27, 9:42 AM","2019/12/9, 7:19 AM",140.90778100° E,42.38644100° N,0,"{""北海道旅客鉄道"": 0}",,72e4472b-8179-47fb-a14a-8704ee17affe
1110410,,,,,"1,136",,,,,,,,,,,,,,,伊達紋別,,,1,052-0032,伊達市山下町,"2019/2/27, 9:42 AM","2019/7/4, 12:39 AM",140.85580200° E,42.46939500° N,"1,136","{""北海道旅客鉄道"": 1136}",,208b61ca-cc21-45fa-9928-7567a8a64e7a
1110337,,,,,0,,,,,,,,,,,,,,,妹背牛,,,1,079-0500,雨竜郡妹背牛町字妹背牛,"2019/2/27, 9:42 AM","2019/7/4, 12:38 AM",141.96659100° E,43.69084100° N,0,"{""北海道旅客鉄道"": 0}",,9dc6ef64-76ca-4749-90c9-6d8a001dc25f
